air_hulu,hujan_hulu,air_lokal,hujan_lokal,status,estimasi_menit
157.58,69.66,109.0,40.04,BAHAYA,5
120.54,31.52,85.02,21.36,SIAGA,79
158.51,49.95,129.12,58.73,BAHAYA,25
52.36,7.57,42.28,7.67,WASPADA,138
93.26,17.97,49.6,6.69,WASPADA,105
120.99,41.59,90.85,29.29,SIAGA,38
98.16,20.62,90.44,24.99,SIAGA,54
14.79,2.67,15.31,0.49,AMAN,294
68.0,13.06,47.87,6.87,WASPADA,105
208.1,70.71,146.2,34.56,BAHAYA,8
145.81,24.22,96.35,27.63,SIAGA,43
53.41,0.0,33.97,1.67,AMAN,267
91.17,15.65,66.13,6.54,WASPADA,151
125.47,33.11,86.07,29.95,SIAGA,37
60.94,6.47,68.53,13.92,WASPADA,170
74.45,10.0,51.38,11.34,WASPADA,141
208.81,75.86,111.3,67.37,BAHAYA,0
208.54,62.3,135.05,58.8,BAHAYA,23
120.3,24.38,78.58,21.87,SIAGA,65
153.24,72.98,115.0,67.0,BAHAYA,0
169.72,67.7,105.48,61.66,BAHAYA,15
145.49,27.07,71.65,28.06,SIAGA,64
40.98,0.96,32.5,4.57,AMAN,248
65.53,7.62,49.89,11.0,WASPADA,142
103.2,20.76,75.98,23.25,SIAGA,42
237.13,44.53,132.82,63.77,BAHAYA,23
85.11,14.96,68.02,14.97,WASPADA,154
17.09,1.16,36.92,1.28,AMAN,206
20.96,4.07,32.8,1.56,AMAN,229
178.57,87.8,138.53,64.89,BAHAYA,28
132.2,35.83,87.68,18.9,SIAGA,59
84.11,15.48,47.73,9.65,WASPADA,113
141.78,28.15,92.79,28.56,SIAGA,79
54.71,13.13,44.16,8.24,WASPADA,118
66.65,18.23,65.86,12.88,WASPADA,103
83.54,9.55,55.52,11.81,WASPADA,135
93.33,19.22,44.98,14.57,WASPADA,119
45.05,6.04,19.39,4.29,AMAN,195
36.6,3.97,36.19,0.84,AMAN,186
94.11,10.09,45.88,13.53,WASPADA,138
74.56,14.93,54.37,13.46,WASPADA,163
90.67,15.89,61.21,9.27,WASPADA,168
22.85,5.62,11.42,4.81,AMAN,261
21.01,4.77,18.95,3.88,AMAN,227
119.13,31.14,80.98,23.29,SIAGA,55
78.37,10.49,69.5,8.25,WASPADA,96
189.61,71.54,139.47,40.59,BAHAYA,23
125.43,26.98,92.81,23.18,SIAGA,48
186.35,49.97,111.01,51.52,BAHAYA,6
106.74,23.62,72.96,26.14,SIAGA,84
201.46,64.16,119.37,61.45,BAHAYA,20
141.01,29.16,83.88,25.46,SIAGA,60
199.56,98.45,137.97,43.18,BAHAYA,15
26.33,0.0,22.1,1.17,AMAN,278
101.62,26.4,77.99,19.27,SIAGA,34
110.09,30.89,81.93,28.26,SIAGA,83
159.27,96.75,103.95,45.58,BAHAYA,8
228.99,54.57,132.11,37.07,BAHAYA,2
58.74,19.48,48.16,13.74,WASPADA,105
241.06,93.57,141.16,74.52,BAHAYA,5
187.05,65.89,127.68,38.83,BAHAYA,20
27.99,4.13,32.18,3.23,AMAN,198
188.02,68.95,102.95,44.43,BAHAYA,27
154.27,56.08,120.22,77.44,BAHAYA,4
98.13,10.85,63.48,9.08,WASPADA,145
47.02,3.8,36.62,3.13,AMAN,276
180.95,82.1,118.44,38.28,BAHAYA,17
111.5,26.96,77.89,20.2,SIAGA,67
67.94,18.74,46.92,10.22,WASPADA,161
131.02,22.5,91.01,20.43,SIAGA,33
186.64,50.28,108.21,45.6,BAHAYA,2
182.26,98.49,108.92,78.33,BAHAYA,5
237.95,76.81,127.19,40.58,BAHAYA,4
71.61,17.0,50.83,14.57,WASPADA,155
103.07,28.35,84.49,19.18,SIAGA,73
24.04,6.08,23.35,2.45,AMAN,222
229.44,89.0,117.75,52.25,BAHAYA,24
145.72,35.76,92.51,27.27,SIAGA,79
117.85,37.9,84.06,26.49,SIAGA,51
221.44,75.33,111.0,45.3,BAHAYA,21
148.55,39.59,98.76,21.98,SIAGA,58
138.06,27.75,83.96,17.73,SIAGA,42
123.33,25.97,92.12,24.4,SIAGA,73
36.89,2.19,36.92,0.6,AMAN,219
120.53,32.15,95.78,20.76,SIAGA,81
97.99,9.4,53.48,7.49,WASPADA,152
61.65,10.28,42.2,8.9,WASPADA,139
192.58,98.01,136.24,76.58,BAHAYA,15
184.62,72.51,128.66,60.43,BAHAYA,4
99.94,14.61,67.76,12.86,WASPADA,142
78.01,14.57,55.2,10.76,WASPADA,119
86.23,7.89,43.46,9.93,WASPADA,148
35.28,0.45,37.99,4.61,AMAN,240
56.91,13.19,50.75,14.28,WASPADA,91
124.52,20.66,99.2,23.25,SIAGA,66
193.54,47.94,106.2,72.04,BAHAYA,6
43.69,0.0,27.3,0.6,AMAN,184
172.35,69.95,102.96,53.0,BAHAYA,16
182.94,53.28,118.97,35.88,BAHAYA,22
83.32,11.43,59.29,10.1,WASPADA,132
25.04,7.93,11.69,2.43,AMAN,289
175.46,65.13,142.75,58.4,BAHAYA,14
81.11,5.6,60.81,14.39,WASPADA,141
224.49,68.42,144.11,62.79,BAHAYA,26
179.37,56.03,145.53,68.26,BAHAYA,19
39.35,0.0,16.77,3.08,AMAN,184
14.9,7.13,16.27,0.65,AMAN,204
130.85,21.62,72.0,22.24,SIAGA,78
120.43,41.54,74.88,29.1,SIAGA,74
120.3,42.63,78.99,20.65,SIAGA,71
140.22,21.79,82.23,19.96,SIAGA,47
125.16,40.7,76.24,29.27,SIAGA,42
69.93,14.03,53.89,12.68,WASPADA,110
31.37,1.15,20.64,2.0,AMAN,186
166.36,74.35,133.57,51.55,BAHAYA,20
51.22,16.19,60.18,6.35,WASPADA,122
200.37,96.79,136.15,59.52,BAHAYA,23
74.13,13.1,69.03,12.27,WASPADA,97
54.93,15.59,53.1,13.9,WASPADA,108
102.59,45.52,85.87,20.07,SIAGA,57
58.95,7.08,49.64,13.02,WASPADA,131
188.47,96.24,117.81,79.42,BAHAYA,14
49.1,0.0,12.9,3.6,AMAN,213
35.23,2.54,10.81,3.92,AMAN,181
71.44,14.6,54.83,9.5,WASPADA,168
81.75,17.34,68.9,10.58,WASPADA,130
62.86,10.13,52.74,14.99,WASPADA,94
165.66,68.93,126.01,43.68,BAHAYA,9
97.56,19.26,50.71,11.14,WASPADA,170
114.44,29.09,91.09,26.26,SIAGA,88
133.41,30.67,75.91,29.68,SIAGA,80
58.21,15.65,61.15,10.64,WASPADA,178
227.23,57.47,119.84,48.0,BAHAYA,12
89.97,11.76,50.92,13.29,WASPADA,111
177.0,47.2,132.77,56.04,BAHAYA,12
42.45,2.83,27.08,4.34,AMAN,249
53.65,10.54,52.44,13.8,WASPADA,111
43.02,6.23,23.3,1.6,AMAN,243
136.84,19.25,72.43,21.41,SIAGA,50
121.95,23.35,79.97,29.65,SIAGA,54
149.84,25.88,90.76,26.02,SIAGA,65
100.43,34.99,92.45,18.95,SIAGA,79
59.59,22.62,43.11,7.79,WASPADA,120
54.72,11.11,47.92,7.92,WASPADA,126
116.12,29.04,99.32,29.37,SIAGA,77
198.27,89.69,143.06,72.4,BAHAYA,10
159.65,85.02,101.48,51.05,BAHAYA,9
23.87,2.33,18.82,2.23,AMAN,267
130.37,40.31,75.53,26.53,SIAGA,63
115.72,34.94,96.78,23.97,SIAGA,67
59.53,11.62,50.0,7.64,WASPADA,134
29.13,0.18,37.83,4.34,AMAN,264
235.64,88.93,106.58,62.55,BAHAYA,24
119.1,32.87,72.0,24.95,SIAGA,34
32.01,2.25,30.75,3.98,AMAN,199
27.02,0.83,29.49,4.34,AMAN,279
57.95,6.47,48.47,7.22,WASPADA,113
36.51,2.14,31.31,0.56,AMAN,268
69.62,20.73,48.64,8.51,WASPADA,172
46.78,5.4,11.96,4.11,AMAN,257
38.71,4.23,37.35,2.2,AMAN,184
220.95,71.72,103.7,51.92,BAHAYA,13
16.99,2.12,11.98,4.86,AMAN,223
135.32,35.63,91.74,19.75,SIAGA,48
152.93,78.16,143.62,74.65,BAHAYA,13
35.98,4.86,17.34,2.11,AMAN,280
77.45,10.46,43.95,14.2,WASPADA,163
66.54,12.9,43.65,12.81,WASPADA,141
110.27,21.48,88.05,27.76,SIAGA,31
94.13,13.35,51.14,11.37,WASPADA,114
40.63,2.17,16.18,1.76,AMAN,195
93.88,21.4,59.22,7.66,WASPADA,99
82.89,17.62,61.4,13.51,WASPADA,95
18.46,3.63,19.42,4.79,AMAN,184
84.75,7.9,47.83,10.45,WASPADA,171
224.67,72.35,145.68,38.18,BAHAYA,18
135.06,35.18,92.89,20.33,SIAGA,56
114.79,28.64,81.28,23.9,SIAGA,44
144.77,24.22,90.04,28.7,SIAGA,39
244.18,81.18,115.78,40.23,BAHAYA,8
233.13,51.74,107.39,62.53,BAHAYA,5
127.19,36.42,90.8,24.8,SIAGA,45
97.38,15.77,65.14,14.92,WASPADA,104
248.56,98.77,134.65,42.94,BAHAYA,23
243.78,65.51,131.9,52.08,BAHAYA,12
96.62,19.08,46.07,13.87,WASPADA,155
24.34,2.42,29.0,3.61,AMAN,210
13.6,4.44,17.05,3.26,AMAN,228
8.96,3.28,18.09,4.1,AMAN,299
131.99,43.72,97.56,23.04,SIAGA,76
64.38,17.58,51.97,6.8,WASPADA,120
121.92,23.52,99.6,27.49,SIAGA,46
144.59,33.74,95.45,22.24,SIAGA,71
118.68,36.53,73.05,21.06,SIAGA,61
95.31,9.83,64.1,11.36,WASPADA,168
212.51,69.27,108.07,35.58,BAHAYA,0
17.8,5.23,19.6,2.53,AMAN,199
229.34,49.51,101.42,31.98,BAHAYA,17
103.04,30.29,91.82,22.2,SIAGA,73
75.97,8.14,47.86,11.65,WASPADA,163
139.82,39.03,83.99,22.83,SIAGA,42
249.0,74.01,124.81,58.73,BAHAYA,26
136.92,34.81,85.28,18.69,SIAGA,57
116.65,42.44,86.46,24.84,SIAGA,62
13.16,1.38,23.41,3.89,AMAN,206
98.03,13.5,53.15,10.66,WASPADA,97
164.17,99.25,109.56,62.75,BAHAYA,7
87.68,13.55,66.88,6.71,WASPADA,119
34.21,0.0,17.17,1.41,AMAN,229
152.98,84.64,141.45,38.18,BAHAYA,4
52.2,16.58,49.96,9.32,WASPADA,158
243.25,68.84,138.82,54.71,BAHAYA,26
140.77,39.64,79.39,29.33,SIAGA,32
209.81,81.01,101.83,78.06,BAHAYA,1
34.66,4.11,10.4,2.71,AMAN,235
216.14,73.88,138.49,54.78,BAHAYA,4
94.23,13.61,45.56,14.66,WASPADA,136
180.08,88.97,141.07,78.97,BAHAYA,14
16.76,2.18,26.39,0.45,AMAN,230
55.65,17.16,43.93,11.61,WASPADA,121
82.97,10.83,61.7,13.86,WASPADA,101
107.27,29.8,75.66,25.8,SIAGA,74
93.61,18.61,55.89,14.55,WASPADA,137
195.58,70.01,125.03,72.49,BAHAYA,24
197.87,76.47,112.68,69.9,BAHAYA,14
20.77,1.82,19.15,0.84,AMAN,235
29.92,0.57,23.42,4.83,AMAN,225
199.89,86.38,111.09,65.76,BAHAYA,0
66.71,14.51,46.94,12.68,WASPADA,94
93.45,10.66,61.96,8.87,WASPADA,170
31.42,0.11,15.88,4.72,AMAN,297
79.87,8.0,61.37,11.93,WASPADA,178
156.28,54.37,101.19,79.97,BAHAYA,23
178.69,54.28,114.95,49.42,BAHAYA,21
10.33,2.62,22.31,4.67,AMAN,256
17.9,4.37,36.28,3.92,AMAN,200
33.31,5.35,27.39,2.7,AMAN,186
141.78,22.19,79.73,19.49,SIAGA,51
69.63,20.04,42.62,7.28,WASPADA,94
41.94,1.04,25.81,2.81,AMAN,200
211.22,58.27,106.7,78.54,BAHAYA,0
19.76,1.39,14.37,3.49,AMAN,257
176.97,91.22,111.26,34.55,BAHAYA,20
131.44,22.98,98.49,19.62,SIAGA,49
28.78,1.18,22.03,1.75,AMAN,272
67.72,9.5,45.39,13.19,WASPADA,152
59.51,12.0,44.52,14.87,WASPADA,159
99.03,15.7,46.06,9.41,WASPADA,165
145.64,43.67,97.67,17.33,SIAGA,62
207.84,54.79,140.07,66.29,BAHAYA,2
25.92,0.8,22.01,2.75,AMAN,254
18.63,2.45,35.55,0.78,AMAN,296
253.67,53.06,115.85,62.27,BAHAYA,10
216.22,61.69,118.86,72.34,BAHAYA,5
89.55,15.89,47.02,11.12,WASPADA,167
26.45,0.36,21.68,4.76,AMAN,218
135.12,30.44,93.7,22.2,SIAGA,58
28.7,0.0,21.02,2.63,AMAN,277
88.51,11.23,49.05,14.4,WASPADA,154
102.15,36.68,85.78,23.64,SIAGA,51
24.59,0.35,11.13,3.59,AMAN,244
89.32,6.44,46.51,10.15,WASPADA,115
215.59,90.95,121.47,34.58,BAHAYA,7
33.13,3.1,25.55,0.19,AMAN,248
141.13,34.65,72.88,22.52,SIAGA,44
76.43,12.88,45.76,10.53,WASPADA,163
147.42,44.25,77.07,16.55,SIAGA,73
81.03,6.96,48.15,10.14,WASPADA,145
178.66,73.81,105.32,51.27,BAHAYA,21
184.48,69.39,142.99,64.53,BAHAYA,25
106.28,41.74,80.54,20.4,SIAGA,60
70.49,11.2,53.32,9.47,WASPADA,171
97.5,13.85,42.69,8.36,WASPADA,128
210.33,87.18,147.12,74.2,BAHAYA,14
78.3,6.97,44.66,10.77,WASPADA,113
199.83,97.26,124.73,34.12,BAHAYA,15
237.57,55.08,131.16,50.88,BAHAYA,1
217.01,97.34,114.13,70.76,BAHAYA,1
96.85,17.94,60.08,13.42,WASPADA,147
106.64,31.57,74.68,24.29,SIAGA,58
243.26,64.23,121.79,66.02,BAHAYA,17
63.39,18.5,44.79,9.35,WASPADA,92
19.52,1.4,24.23,0.05,AMAN,190
242.58,92.82,134.48,33.56,BAHAYA,22
124.8,25.75,95.51,26.18,SIAGA,87
21.06,3.35,15.61,0.33,AMAN,299
80.17,16.86,67.86,6.08,WASPADA,96
43.36,2.28,28.21,0.94,AMAN,276
212.73,74.13,108.08,52.66,BAHAYA,9
8.42,2.11,31.39,1.83,AMAN,186
12.2,4.52,14.65,1.78,AMAN,263
122.14,33.82,71.17,17.1,SIAGA,81
47.44,0.42,21.11,2.84,AMAN,285
21.8,1.71,11.47,0.96,AMAN,274
120.48,41.27,92.72,19.81,SIAGA,36
30.7,2.76,27.89,1.83,AMAN,276
55.39,14.73,68.16,8.78,WASPADA,167
107.24,23.46,92.13,18.8,SIAGA,51
15.64,1.32,24.55,2.7,AMAN,278
85.72,16.88,61.29,9.71,WASPADA,102
86.28,10.27,67.3,11.29,WASPADA,97
231.67,73.34,144.84,44.12,BAHAYA,11
155.97,91.95,116.71,39.74,BAHAYA,6
69.84,6.72,49.59,11.15,WASPADA,129
238.55,85.56,117.27,67.48,BAHAYA,4
38.97,2.32,11.9,0.66,AMAN,283
34.99,1.0,29.66,1.17,AMAN,283
100.19,30.93,81.2,23.61,SIAGA,34
220.83,88.59,128.53,67.3,BAHAYA,19
68.75,13.74,62.62,9.41,WASPADA,116
49.11,1.25,29.84,4.52,AMAN,191
230.65,90.81,121.34,35.38,BAHAYA,12
226.8,49.09,141.55,51.96,BAHAYA,17
104.91,44.89,94.41,22.43,SIAGA,43
109.33,33.07,98.37,16.05,SIAGA,44
144.42,29.83,99.84,25.51,SIAGA,34
63.4,5.75,41.04,10.05,WASPADA,164
15.52,1.98,18.56,3.96,AMAN,288
59.03,16.83,59.45,7.48,WASPADA,128
118.22,44.79,72.59,20.97,SIAGA,58
139.92,42.29,98.22,27.27,SIAGA,80
180.93,67.69,116.53,53.9,BAHAYA,8
154.65,72.51,103.8,36.42,BAHAYA,6
87.44,16.25,53.36,9.0,WASPADA,118
175.44,96.38,143.12,65.78,BAHAYA,13
46.36,3.6,34.33,0.99,AMAN,205
145.65,21.59,85.83,28.86,SIAGA,83
78.01,4.96,69.07,14.23,WASPADA,104
133.08,20.51,77.58,29.04,SIAGA,83
16.28,5.02,29.02,0.36,AMAN,289
70.77,7.43,57.76,14.62,WASPADA,134
65.76,19.3,53.61,7.74,WASPADA,107
224.51,56.52,116.76,53.81,BAHAYA,27
32.81,2.27,37.02,4.65,AMAN,226
227.58,47.39,116.68,51.67,BAHAYA,6
54.42,9.14,64.26,13.66,WASPADA,132
171.39,58.78,115.3,39.47,BAHAYA,11
190.68,96.62,103.37,41.3,BAHAYA,16
70.36,13.8,61.24,11.74,WASPADA,118
102.39,43.71,84.78,20.44,SIAGA,75
139.46,42.39,90.52,16.66,SIAGA,63
18.69,4.38,10.6,3.76,AMAN,236
91.25,11.93,56.68,12.1,WASPADA,152
69.56,20.88,59.62,8.68,WASPADA,101
39.44,0.0,15.97,3.01,AMAN,187
72.78,14.41,65.01,12.94,WASPADA,93
44.34,4.02,35.28,1.52,AMAN,231
154.41,98.23,112.79,42.76,BAHAYA,2
218.14,94.6,117.94,61.45,BAHAYA,1
86.71,9.92,51.93,10.8,WASPADA,90
19.06,4.84,18.39,0.96,AMAN,240
54.45,14.74,62.68,10.96,WASPADA,162
104.58,42.18,82.12,18.13,SIAGA,69
134.84,32.4,95.25,19.71,SIAGA,56
93.04,10.42,59.74,7.36,WASPADA,173
101.92,27.09,85.13,28.3,SIAGA,61
204.6,52.81,140.33,43.1,BAHAYA,26
138.29,23.58,88.43,16.48,SIAGA,59
119.63,29.47,89.07,17.04,SIAGA,59
212.49,71.95,137.18,47.44,BAHAYA,22
215.72,47.74,133.05,61.31,BAHAYA,8
58.25,10.58,58.18,13.52,WASPADA,93
52.66,8.33,68.81,11.52,WASPADA,113
123.63,38.34,97.63,21.71,SIAGA,41
140.65,21.01,91.08,24.01,SIAGA,83
95.07,11.51,54.98,6.63,WASPADA,114
180.51,71.48,133.89,38.95,BAHAYA,14
211.15,83.43,107.19,77.34,BAHAYA,3
50.68,4.47,32.61,1.1,AMAN,233
99.01,46.14,96.82,19.78,SIAGA,78
25.26,4.42,31.9,2.05,AMAN,255
14.6,4.23,23.75,1.31,AMAN,209
23.37,4.74,12.9,2.38,AMAN,299
71.24,11.27,52.88,13.02,WASPADA,158
201.82,77.97,128.43,54.83,BAHAYA,14
125.17,23.63,93.22,29.05,SIAGA,85
122.11,21.65,98.09,18.57,SIAGA,44
42.62,0.71,15.12,1.34,AMAN,241
127.36,37.59,98.19,28.77,SIAGA,85
115.55,43.4,99.19,28.03,SIAGA,36
57.34,11.37,42.34,10.89,WASPADA,120
237.23,80.19,122.27,71.15,BAHAYA,26
65.85,7.14,60.39,13.76,WASPADA,104
94.72,12.3,67.21,8.89,WASPADA,139
19.45,0.0,30.1,0.0,AMAN,276
120.95,28.41,98.95,24.98,SIAGA,31
112.66,24.05,92.99,24.48,SIAGA,63
74.74,13.93,49.22,14.54,WASPADA,164
8.57,2.15,14.82,4.89,AMAN,199
213.0,54.25,122.09,44.46,BAHAYA,25
227.67,47.41,148.38,56.8,BAHAYA,8
149.99,19.51,89.99,22.2,SIAGA,85
196.79,84.86,104.33,40.5,BAHAYA,6
29.86,0.05,35.85,4.71,AMAN,242
15.99,0.06,29.63,2.67,AMAN,293
125.72,33.51,78.77,22.37,SIAGA,57
184.55,49.32,125.32,57.68,BAHAYA,4
80.0,13.22,65.64,10.32,WASPADA,123
15.2,4.89,30.23,3.17,AMAN,191
101.73,33.26,82.68,24.24,SIAGA,35
154.02,33.05,90.94,20.56,SIAGA,35
99.45,41.68,86.56,19.9,SIAGA,33
14.28,1.79,27.17,2.02,AMAN,223
50.63,0.06,27.91,2.12,AMAN,233
27.18,3.66,19.14,0.91,AMAN,190
134.06,29.42,83.06,22.57,SIAGA,51
83.13,15.65,49.3,10.14,WASPADA,107
63.05,8.55,44.69,11.75,WASPADA,96
117.88,36.47,87.17,19.58,SIAGA,68
23.79,3.85,28.12,4.36,AMAN,299
169.82,57.71,124.49,49.0,BAHAYA,26
189.06,92.82,132.89,61.09,BAHAYA,9
115.54,31.92,90.36,16.18,SIAGA,81
109.04,31.42,85.39,21.65,SIAGA,70
213.05,89.92,106.36,50.47,BAHAYA,9
107.97,22.98,95.66,18.98,SIAGA,69
59.62,5.39,57.15,14.52,WASPADA,126
99.54,18.32,69.87,6.2,WASPADA,100
186.47,59.33,139.56,33.76,BAHAYA,10
35.84,2.93,28.38,2.93,AMAN,245
