air_hulu_cm,hujan_hulu_mm,jungkit_hulu,air_lokal_cm,hujan_lokal_mm,jungkit_lokal,status,estimasi_menit
181.98,47.96,60,196.88,36.95,46,SIAGA,17
5.4,2.41,3,48.77,0.67,1,AMAN,342
12.1,3.74,5,3.61,2.79,3,AMAN,265
198.25,39.74,50,151.65,20.24,25,SIAGA,53
191.11,27.01,34,200.33,20.71,26,SIAGA,26
49.44,0.57,1,47.21,2.02,3,AMAN,348
85.15,7.09,9,116.65,6.51,8,WASPADA,102
228.18,86.87,109,229.43,73.8,92,BAHAYA,0
244.9,84.62,106,253.05,61.67,77,BAHAYA,0
109.81,12.58,16,86.33,7.16,9,WASPADA,121
62.95,2.98,4,50.59,0.4,0,AMAN,218
46.62,0.34,0,30.69,2.15,3,AMAN,290
253.53,60.59,76,244.51,74.23,93,BAHAYA,0
3.92,3.67,5,37.01,1.04,1,AMAN,357
253.13,76.66,96,218.08,81.84,102,BAHAYA,0
113.57,17.56,22,109.45,15.46,19,WASPADA,97
165.96,26.54,33,181.43,49.64,62,SIAGA,54
210.3,95.71,120,212.98,90.69,113,BAHAYA,0
229.46,50.78,63,222.66,71.17,89,BAHAYA,0
7.58,4.32,5,53.3,3.84,5,AMAN,212
201.75,29.76,37,190.48,47.03,59,SIAGA,11
196.54,30.83,39,145.03,22.75,28,SIAGA,19
228.09,82.57,103,207.62,88.56,111,BAHAYA,0
269.3,62.29,78,248.85,67.91,85,BAHAYA,0
167.37,26.05,33,173.18,46.87,59,SIAGA,13
60.67,3.02,4,51.77,1.69,2,AMAN,215
172.89,45.3,57,169.07,22.93,29,SIAGA,15
104.89,6.15,8,95.01,10.32,13,WASPADA,107
17.2,0.51,1,19.09,2.43,3,AMAN,206
237.18,70.12,88,251.47,93.71,117,BAHAYA,0
250.63,57.4,72,263.77,92.63,116,BAHAYA,0
97.93,7.26,9,101.6,19.52,24,WASPADA,83
258.65,68.15,85,226.13,51.71,65,BAHAYA,0
172.43,43.53,54,189.11,31.31,39,SIAGA,30
131.4,13.31,17,120.35,8.19,10,WASPADA,98
165.27,46.83,59,175.74,33.68,42,SIAGA,56
53.28,2.58,3,18.15,1.61,2,AMAN,271
151.97,43.79,55,199.4,45.61,57,SIAGA,25
48.53,4.76,6,50.19,4.54,6,AMAN,220
21.9,4.49,6,0.72,2.0,2,AMAN,240
181.9,39.09,49,185.23,24.47,31,SIAGA,47
124.19,13.03,16,81.74,12.15,15,WASPADA,85
257.06,50.86,64,226.2,88.17,110,BAHAYA,0
194.18,26.66,33,184.27,41.44,52,SIAGA,18
196.89,23.94,30,167.16,31.97,40,SIAGA,30
34.52,1.1,1,65.36,1.06,1,AMAN,284
222.99,76.35,95,259.28,91.3,114,BAHAYA,0
38.91,0.19,0,18.2,2.4,3,AMAN,300
261.05,53.85,67,217.44,67.02,84,BAHAYA,0
99.4,17.63,22,95.79,17.57,22,WASPADA,60
227.44,79.16,99,245.94,86.51,108,BAHAYA,0
29.98,3.11,4,31.78,2.35,3,AMAN,356
112.75,5.45,7,130.52,19.42,24,WASPADA,87
228.8,55.24,69,261.01,74.93,94,BAHAYA,0
161.89,30.52,38,164.87,37.7,47,SIAGA,43
50.22,4.93,6,26.33,1.88,2,AMAN,238
78.19,18.41,23,97.5,14.81,19,WASPADA,129
73.65,9.91,12,122.08,18.35,23,WASPADA,170
74.51,15.44,19,109.21,13.55,17,WASPADA,145
230.68,55.29,69,248.28,67.74,85,BAHAYA,0
8.78,1.09,1,40.6,0.3,0,AMAN,286
73.87,8.95,11,130.78,10.4,13,WASPADA,132
1.65,0.65,1,1.48,3.79,5,AMAN,313
156.15,49.21,62,168.05,28.52,36,SIAGA,44
125.03,9.53,12,112.99,15.98,20,WASPADA,148
213.46,70.44,88,250.97,51.27,64,BAHAYA,0
235.41,67.77,85,231.03,83.46,104,BAHAYA,0
185.58,34.13,43,185.76,39.86,50,SIAGA,19
65.77,4.24,5,30.18,2.73,3,AMAN,256
231.96,64.17,80,259.29,50.92,64,BAHAYA,0
256.78,92.1,115,233.7,59.31,74,BAHAYA,0
248.92,64.29,80,225.27,71.64,90,BAHAYA,0
31.21,1.8,2,56.01,1.92,2,AMAN,278
106.92,18.94,24,74.0,12.98,16,WASPADA,89
141.68,20.66,26,189.75,49.48,62,SIAGA,42
87.1,7.41,9,79.62,7.8,10,WASPADA,114
8.98,4.38,5,1.93,2.02,3,AMAN,264
198.2,34.25,43,140.94,21.66,27,SIAGA,24
161.94,27.32,34,194.88,49.19,61,SIAGA,36
107.83,8.48,11,101.28,10.86,14,WASPADA,61
203.86,67.83,85,239.2,62.72,78,BAHAYA,0
184.67,31.91,40,148.03,23.15,29,SIAGA,48
171.18,31.88,40,146.43,47.45,59,SIAGA,29
233.16,74.77,93,218.21,69.32,87,BAHAYA,0
68.95,8.21,10,123.57,5.2,6,WASPADA,88
20.63,0.7,1,47.21,0.15,0,AMAN,303
262.44,86.48,108,234.64,81.88,102,BAHAYA,0
126.33,8.95,11,121.1,5.01,6,WASPADA,79
149.89,40.22,50,189.4,21.88,27,SIAGA,40
34.84,0.13,0,34.97,1.26,2,AMAN,306
203.7,98.8,123,220.11,83.37,104,BAHAYA,0
124.76,13.94,17,103.58,6.52,8,WASPADA,107
2.94,2.73,3,11.11,2.16,3,AMAN,272
150.95,20.5,26,178.58,35.36,44,SIAGA,50
263.87,67.28,84,242.09,59.08,74,BAHAYA,0
110.2,17.39,22,82.49,17.01,21,WASPADA,68
0.69,1.41,2,47.98,4.82,6,AMAN,284
206.46,77.32,97,236.82,98.35,123,BAHAYA,0
187.92,33.85,42,187.06,49.5,62,SIAGA,29
152.48,48.11,60,179.17,29.35,37,SIAGA,59
169.5,29.71,37,152.0,32.76,41,SIAGA,56
226.49,75.89,95,205.22,54.39,68,BAHAYA,0
162.24,46.33,58,186.31,21.25,27,SIAGA,37
95.28,6.16,8,72.42,11.11,14,WASPADA,158
203.98,83.87,105,216.89,87.93,110,BAHAYA,0
75.76,6.11,8,125.83,10.38,13,WASPADA,131
255.5,67.41,84,229.57,75.7,95,BAHAYA,0
152.85,27.04,34,179.67,48.9,61,SIAGA,35
252.17,77.19,96,237.92,93.22,117,BAHAYA,0
131.6,12.23,15,110.35,10.43,13,WASPADA,80
31.46,3.02,4,28.32,4.01,5,AMAN,280
162.22,28.99,36,164.17,29.3,37,SIAGA,28
255.1,58.24,73,235.18,70.56,88,BAHAYA,0
46.23,2.69,3,46.24,0.3,0,AMAN,293
173.66,26.7,33,173.49,39.26,49,SIAGA,45
56.31,0.39,0,61.02,0.52,1,AMAN,180
104.4,16.52,21,102.44,12.57,16,WASPADA,164
250.36,87.4,109,267.81,90.64,113,BAHAYA,0
49.75,2.77,3,5.13,1.27,2,AMAN,267
269.08,87.47,109,230.79,78.6,98,BAHAYA,0
115.15,13.3,17,93.01,14.62,18,WASPADA,86
267.31,93.9,117,206.26,77.89,97,BAHAYA,0
71.01,5.45,7,98.19,15.13,19,WASPADA,105
25.6,4.74,6,37.17,0.71,1,AMAN,325
68.62,18.48,23,74.8,14.1,18,WASPADA,158
131.24,7.28,9,119.31,18.34,23,WASPADA,61
81.52,13.23,17,113.87,13.23,17,WASPADA,143
244.14,72.9,91,219.94,61.33,77,BAHAYA,0
261.74,78.49,98,225.92,88.12,110,BAHAYA,0
47.66,0.07,0,52.94,0.99,1,AMAN,302
233.18,61.94,77,234.69,73.48,92,BAHAYA,0
43.53,1.63,2,56.9,3.73,5,AMAN,324
255.56,91.3,114,243.1,81.57,102,BAHAYA,0
4.47,4.88,6,3.22,2.37,3,AMAN,221
229.6,64.67,81,208.84,96.59,121,BAHAYA,0
30.65,3.07,4,26.6,3.08,4,AMAN,243
30.77,2.36,3,23.97,4.11,5,AMAN,310
247.02,98.73,123,253.72,86.09,108,BAHAYA,0
168.3,41.66,52,164.35,31.54,39,SIAGA,49
76.07,14.89,19,130.88,15.32,19,WASPADA,82
114.44,18.55,23,71.46,14.7,18,WASPADA,85
171.6,25.6,32,189.29,46.78,58,SIAGA,37
170.67,25.42,32,143.34,27.87,35,SIAGA,36
134.89,13.97,17,130.52,16.03,20,WASPADA,104
269.05,93.63,117,203.01,72.6,91,BAHAYA,0
23.29,2.25,3,44.55,3.78,5,AMAN,182
123.54,17.67,22,70.48,9.79,12,WASPADA,90
125.51,12.62,16,89.84,15.44,19,WASPADA,95
77.99,5.16,6,120.66,18.43,23,WASPADA,153
141.34,43.7,55,162.6,29.14,36,SIAGA,11
86.52,10.35,13,88.93,16.36,20,WASPADA,68
243.9,78.34,98,204.62,67.58,84,BAHAYA,0
143.64,27.2,34,137.8,24.33,30,SIAGA,10
42.23,3.94,5,16.64,2.27,3,AMAN,347
79.02,13.94,17,75.81,11.51,14,WASPADA,64
153.97,22.27,28,195.23,42.6,53,SIAGA,43
166.8,26.27,33,167.82,22.54,28,SIAGA,15
26.48,3.29,4,12.18,0.35,0,AMAN,323
209.29,79.95,100,263.94,55.75,70,BAHAYA,0
71.24,8.24,10,122.97,11.64,15,WASPADA,127
153.23,22.37,28,158.66,33.28,42,SIAGA,49
211.04,64.5,81,264.43,78.16,98,BAHAYA,0
12.68,0.58,1,30.78,0.64,1,AMAN,345
185.53,43.45,54,188.77,44.84,56,SIAGA,44
65.6,0.51,1,45.15,0.63,1,AMAN,191
11.45,4.09,5,44.8,1.29,2,AMAN,258
102.18,18.35,23,117.33,17.27,22,WASPADA,119
122.3,5.25,7,86.27,7.92,10,WASPADA,119
205.09,68.42,86,220.39,71.62,90,BAHAYA,0
269.08,53.89,67,249.78,98.72,123,BAHAYA,0
197.07,21.18,26,147.92,41.17,51,SIAGA,30
14.28,2.25,3,62.92,3.06,4,AMAN,328
218.91,87.21,109,229.81,84.05,105,BAHAYA,0
97.06,13.66,17,78.78,18.16,23,WASPADA,117
239.33,92.04,115,242.55,86.64,108,BAHAYA,0
199.26,33.32,42,164.45,33.52,42,SIAGA,47
197.8,32.67,41,180.56,31.32,39,SIAGA,26
39.98,1.23,2,33.61,3.45,4,AMAN,355
45.16,4.53,6,3.47,0.06,0,AMAN,292
254.52,99.83,125,266.3,77.77,97,BAHAYA,0
99.49,5.65,7,86.73,19.92,25,WASPADA,65
267.95,55.6,70,260.99,69.89,87,BAHAYA,0
222.87,86.88,109,226.43,67.66,85,BAHAYA,0
117.07,19.12,24,129.92,12.95,16,WASPADA,72
217.61,84.94,106,246.22,70.13,88,BAHAYA,0
182.76,36.8,46,147.36,43.42,54,SIAGA,26
240.96,96.58,121,247.02,91.05,114,BAHAYA,0
159.79,23.9,30,187.73,20.67,26,SIAGA,20
29.49,0.49,1,8.18,3.42,4,AMAN,187
225.62,86.47,108,269.23,78.66,98,BAHAYA,0
54.7,4.92,6,53.49,1.99,2,AMAN,303
59.1,2.74,3,26.36,0.64,1,AMAN,333
218.03,86.47,108,247.42,98.34,123,BAHAYA,0
134.43,6.64,8,72.12,18.42,23,WASPADA,104
269.47,89.65,112,222.02,82.75,103,BAHAYA,0
171.75,43.23,54,186.05,45.58,57,SIAGA,21
223.07,97.76,122,208.15,76.13,95,BAHAYA,0
230.25,81.83,102,266.85,74.91,94,BAHAYA,0
53.03,2.43,3,30.24,1.67,2,AMAN,262
247.41,63.99,80,261.33,66.6,83,BAHAYA,0
171.64,27.79,35,187.47,39.02,49,SIAGA,15
180.33,34.2,43,174.43,21.79,27,SIAGA,49
111.77,7.43,9,90.27,5.31,7,WASPADA,115
192.85,28.58,36,191.87,44.48,56,SIAGA,50
137.2,45.27,57,182.0,21.55,27,SIAGA,33
53.49,2.2,3,21.86,1.39,2,AMAN,315
29.25,4.75,6,38.87,2.91,4,AMAN,278
85.38,8.33,10,73.87,9.76,12,WASPADA,149
176.96,38.7,48,149.29,37.08,46,SIAGA,30
200.27,37.65,47,171.92,31.93,40,SIAGA,36
51.13,1.8,2,27.36,0.34,0,AMAN,321
236.38,80.38,100,225.13,62.22,78,BAHAYA,0
154.73,32.95,41,159.96,23.83,30,SIAGA,35
27.75,2.71,3,49.07,1.73,2,AMAN,301
230.12,91.49,114,208.87,98.84,124,BAHAYA,0
247.0,73.21,92,250.49,86.14,108,BAHAYA,0
249.71,96.65,121,250.86,91.38,114,BAHAYA,0
23.68,4.2,5,15.87,4.5,6,AMAN,216
253.53,77.24,97,204.2,87.92,110,BAHAYA,0
123.4,14.01,18,112.69,19.11,24,WASPADA,164
147.64,33.57,42,168.89,24.23,30,SIAGA,15
239.98,76.01,95,240.58,92.61,116,BAHAYA,0
78.61,18.44,23,71.47,16.91,21,WASPADA,177
19.51,4.15,5,13.88,3.03,4,AMAN,238
224.94,66.1,83,211.02,60.57,76,BAHAYA,0
175.12,35.9,45,145.79,40.35,50,SIAGA,37
79.96,6.56,8,111.73,17.0,21,WASPADA,170
83.29,9.54,12,84.52,5.99,7,WASPADA,87
203.08,59.27,74,243.09,73.1,91,BAHAYA,0
120.52,13.3,17,100.22,13.96,17,WASPADA,100
59.12,4.45,6,7.08,2.25,3,AMAN,351
180.32,30.74,38,170.34,23.41,29,SIAGA,12
256.79,52.74,66,203.31,66.76,83,BAHAYA,0
158.56,46.78,58,153.12,44.52,56,SIAGA,11
168.75,25.2,31,147.76,39.13,49,SIAGA,24
147.48,47.83,60,162.15,49.85,62,SIAGA,59
217.81,77.2,96,268.55,81.8,102,BAHAYA,0
31.08,0.33,0,21.44,4.46,6,AMAN,360
94.96,19.08,24,94.17,11.22,14,WASPADA,127
168.49,27.61,35,148.87,34.13,43,SIAGA,56
210.69,58.86,74,266.08,64.71,81,BAHAYA,0
263.58,85.47,107,228.11,63.57,79,BAHAYA,0
98.76,12.38,15,133.66,8.87,11,WASPADA,112
84.11,10.38,13,80.84,14.85,19,WASPADA,168
142.95,39.77,50,138.35,44.06,55,SIAGA,29
44.84,2.18,3,59.76,1.98,2,AMAN,336
190.97,35.12,44,159.92,48.48,61,SIAGA,27
215.18,52.1,65,252.79,73.96,92,BAHAYA,0
80.29,6.7,8,107.81,19.95,25,WASPADA,71
208.03,88.55,111,251.79,55.33,69,BAHAYA,0
77.64,9.9,12,96.82,17.59,22,WASPADA,178
255.09,92.1,115,248.08,74.14,93,BAHAYA,0
31.03,2.64,3,18.66,4.13,5,AMAN,334
160.25,31.24,39,141.74,43.93,55,SIAGA,58
269.43,57.53,72,251.7,92.58,116,BAHAYA,0
30.75,2.61,3,61.6,1.1,1,AMAN,234
184.07,48.97,61,158.82,31.85,40,SIAGA,31
62.55,4.13,5,53.69,4.52,6,AMAN,240
151.35,39.0,49,150.57,26.87,34,SIAGA,38
36.25,2.07,3,40.54,4.79,6,AMAN,358
86.02,12.09,15,95.27,19.76,25,WASPADA,145
267.91,93.58,117,253.23,98.67,123,BAHAYA,0
206.32,72.45,91,251.55,61.87,77,BAHAYA,0
86.3,5.36,7,102.71,17.48,22,WASPADA,168
58.47,4.15,5,7.54,1.41,2,AMAN,345
54.52,2.68,3,45.88,1.55,2,AMAN,336
259.27,97.88,122,215.63,69.95,87,BAHAYA,0
21.36,2.7,3,41.93,3.95,5,AMAN,195
94.68,5.65,7,97.74,16.71,21,WASPADA,104
248.26,77.42,97,239.65,93.96,117,BAHAYA,0
241.31,62.52,78,258.8,81.24,102,BAHAYA,0
103.68,14.42,18,116.34,15.11,19,WASPADA,126
124.43,5.68,7,87.87,19.19,24,WASPADA,148
150.38,30.65,38,137.0,21.36,27,SIAGA,36
95.97,11.4,14,98.95,18.15,23,WASPADA,93
72.76,6.28,8,82.12,10.78,13,WASPADA,93
63.28,0.28,0,43.0,1.87,2,AMAN,314
114.11,6.55,8,94.62,13.77,17,WASPADA,173
26.25,1.45,2,36.63,4.66,6,AMAN,348
189.58,37.47,47,179.33,42.44,53,SIAGA,20
190.52,27.22,34,180.42,40.17,50,SIAGA,13
102.6,18.86,24,120.7,6.68,8,WASPADA,151
170.26,30.65,38,140.46,22.08,28,SIAGA,14
199.45,25.68,32,166.72,46.45,58,SIAGA,40
44.39,3.57,4,23.25,1.93,2,AMAN,313
260.23,98.35,123,254.8,69.64,87,BAHAYA,0
1.95,0.48,1,32.22,2.14,3,AMAN,320
140.78,33.66,42,161.9,20.35,25,SIAGA,55
32.12,4.66,6,21.02,2.88,4,AMAN,274
11.43,1.49,2,5.0,2.15,3,AMAN,335
50.86,3.79,5,48.51,3.19,4,AMAN,204
111.47,17.21,22,131.96,19.11,24,WASPADA,100
201.97,32.9,41,186.78,37.91,47,SIAGA,38
33.97,4.49,6,40.07,0.84,1,AMAN,187
243.94,61.4,77,230.54,60.6,76,BAHAYA,0
129.02,15.42,19,99.12,6.23,8,WASPADA,74
261.07,51.8,65,221.93,58.76,73,BAHAYA,0
267.84,99.43,124,239.84,52.07,65,BAHAYA,0
37.9,4.26,5,34.47,4.79,6,AMAN,249
120.23,17.35,22,69.09,13.34,17,WASPADA,109
257.07,53.81,67,233.8,63.74,80,BAHAYA,0
212.35,78.28,98,241.62,59.13,74,BAHAYA,0
211.82,87.08,109,260.27,63.97,80,BAHAYA,0
98.82,9.43,12,74.37,18.19,23,WASPADA,86
140.44,49.42,62,175.26,26.44,33,SIAGA,10
35.0,1.51,2,37.7,2.46,3,AMAN,330
91.15,18.08,23,121.8,13.65,17,WASPADA,109
123.04,18.0,22,105.16,11.81,15,WASPADA,79
215.78,64.1,80,226.25,68.19,85,BAHAYA,0
117.25,14.43,18,121.83,18.16,23,WASPADA,95
201.29,38.02,48,185.06,47.11,59,SIAGA,13
184.36,21.88,27,176.04,33.77,42,SIAGA,20
210.15,80.31,100,260.0,89.71,112,BAHAYA,0
45.47,4.71,6,24.25,3.34,4,AMAN,254
256.81,68.48,86,234.51,62.11,78,BAHAYA,0
13.99,0.68,1,62.02,0.5,1,AMAN,230
187.39,42.57,53,145.45,41.21,52,SIAGA,13
185.78,44.2,55,161.95,49.55,62,SIAGA,30
158.27,22.86,29,193.47,33.5,42,SIAGA,39
113.82,6.78,8,103.62,19.01,24,WASPADA,85
260.85,84.99,106,217.95,80.85,101,BAHAYA,0
47.02,2.33,3,37.28,0.95,1,AMAN,350
100.45,17.31,22,68.9,11.07,14,WASPADA,105
250.29,86.85,109,267.9,77.3,97,BAHAYA,0
245.38,93.6,117,246.18,76.36,95,BAHAYA,0
45.54,2.14,3,14.62,1.92,2,AMAN,216
187.61,43.0,54,185.62,37.51,47,SIAGA,48
195.8,47.88,60,157.22,32.15,40,SIAGA,48
197.79,38.82,49,171.77,31.57,39,SIAGA,28
27.59,3.35,4,43.62,2.31,3,AMAN,265
120.96,18.05,23,76.36,6.96,9,WASPADA,140
28.55,2.75,3,55.77,0.25,0,AMAN,196
137.48,44.0,55,153.73,32.76,41,SIAGA,49
13.32,4.17,5,4.33,3.15,4,AMAN,339
200.96,46.26,58,162.12,33.25,42,SIAGA,51
122.2,14.88,19,73.12,19.14,24,WASPADA,156
165.19,49.72,62,182.69,42.7,53,SIAGA,52
50.13,4.37,5,37.6,3.95,5,AMAN,304
70.09,15.99,20,85.57,8.22,10,WASPADA,158
35.16,0.04,0,26.79,0.12,0,AMAN,194
42.42,1.86,2,31.44,3.09,4,AMAN,328
163.68,48.39,60,187.5,46.78,58,SIAGA,51
112.64,17.18,21,134.25,10.76,13,WASPADA,150
24.5,4.81,6,15.1,0.38,0,AMAN,285
184.13,33.39,42,176.15,22.1,28,SIAGA,13
155.95,45.01,56,153.12,33.21,42,SIAGA,58
126.33,12.5,16,110.31,11.18,14,WASPADA,107
214.53,57.2,72,265.01,79.77,100,BAHAYA,0
174.37,35.4,44,192.97,27.0,34,SIAGA,31
32.88,0.83,1,27.24,4.27,5,AMAN,329
216.82,57.14,71,229.25,84.6,106,BAHAYA,0
125.85,15.0,19,94.89,8.17,10,WASPADA,146
155.5,22.47,28,186.77,49.04,61,SIAGA,34
179.48,43.67,55,152.65,37.2,46,SIAGA,46
250.72,82.6,103,218.9,61.21,77,BAHAYA,0
17.87,0.74,1,65.43,4.99,6,AMAN,233
264.35,53.33,67,244.29,61.54,77,BAHAYA,0
258.67,67.11,84,211.03,71.5,89,BAHAYA,0
0.87,1.47,2,5.73,4.48,6,AMAN,330
138.1,30.35,38,172.22,30.43,38,SIAGA,14
221.23,67.81,85,246.4,95.34,119,BAHAYA,0
5.64,3.79,5,26.34,4.49,6,AMAN,298
167.75,30.94,39,194.41,36.82,46,SIAGA,52
122.1,18.55,23,71.96,8.49,11,WASPADA,138
4.68,3.22,4,37.16,4.87,6,AMAN,244
179.98,48.58,61,144.04,44.76,56,SIAGA,30
8.89,0.39,0,38.03,1.98,2,AMAN,353
189.97,23.95,30,150.09,41.78,52,SIAGA,32
162.7,30.02,38,140.51,41.98,52,SIAGA,42
244.47,84.05,105,224.67,59.48,74,BAHAYA,0
42.51,2.38,3,51.64,0.55,1,AMAN,284
175.49,34.06,43,155.62,29.04,36,SIAGA,23
201.09,22.54,28,171.41,37.92,47,SIAGA,31
137.82,21.52,27,174.21,46.6,58,SIAGA,41
244.1,77.89,97,227.33,58.3,73,BAHAYA,0
234.04,91.24,114,206.04,75.78,95,BAHAYA,0
63.62,3.11,4,9.85,4.31,5,AMAN,324
25.8,1.22,2,57.27,2.99,4,AMAN,272
42.64,4.11,5,3.43,0.01,0,AMAN,354
165.04,28.97,36,184.16,23.21,29,SIAGA,12
154.29,44.86,56,198.1,43.5,54,SIAGA,10
2.04,1.43,2,2.5,2.95,4,AMAN,249
15.96,1.46,2,60.87,1.04,1,AMAN,346
145.3,28.43,36,188.95,36.28,45,SIAGA,10
39.79,4.66,6,24.74,1.6,2,AMAN,189
61.95,1.71,2,58.78,0.57,1,AMAN,278
53.76,0.64,1,32.1,2.06,3,AMAN,292
267.53,51.29,64,239.82,56.76,71,BAHAYA,0
255.29,51.69,65,221.6,65.57,82,BAHAYA,0
223.92,50.68,63,204.05,54.01,68,BAHAYA,0
26.58,3.05,4,63.92,4.75,6,AMAN,329
269.11,88.84,111,221.18,53.82,67,BAHAYA,0
33.45,4.32,5,38.32,1.15,1,AMAN,228
163.71,21.97,27,168.8,46.61,58,SIAGA,32
132.02,17.19,21,69.22,15.77,20,WASPADA,82
14.4,1.57,2,28.47,1.21,2,AMAN,317
255.89,93.15,116,222.88,76.59,96,BAHAYA,0
45.49,3.77,5,27.59,4.36,5,AMAN,336
217.69,57.98,72,268.38,93.59,117,BAHAYA,0
117.44,14.25,18,102.94,16.14,20,WASPADA,110
230.37,77.54,97,227.97,54.35,68,BAHAYA,0
168.72,48.35,60,197.59,40.9,51,SIAGA,48
75.5,9.36,12,91.85,16.8,21,WASPADA,158
215.26,97.35,122,204.48,98.37,123,BAHAYA,0
38.09,3.38,4,3.96,3.09,4,AMAN,207
248.18,85.41,107,254.11,73.78,92,BAHAYA,0
164.92,21.4,27,195.35,29.59,37,SIAGA,59
84.92,10.58,13,68.07,17.28,22,WASPADA,157
126.72,17.72,22,111.08,6.84,9,WASPADA,141
117.66,7.72,10,106.49,6.0,8,WASPADA,123
253.56,75.65,95,235.96,54.68,68,BAHAYA,0
99.78,16.89,21,105.57,6.04,8,WASPADA,176
70.79,12.68,16,73.68,15.2,19,WASPADA,102
149.61,43.12,54,188.78,32.82,41,SIAGA,48
65.65,1.62,2,43.96,4.99,6,AMAN,307
71.72,14.16,18,106.09,8.0,10,WASPADA,154
245.32,55.5,69,206.64,96.25,120,BAHAYA,0
70.89,5.18,6,127.71,19.55,24,WASPADA,177
134.64,19.86,25,74.02,8.01,10,WASPADA,89
93.93,12.22,15,132.58,7.65,10,WASPADA,114
98.77,11.69,15,90.36,6.5,8,WASPADA,163
121.37,9.61,12,83.58,12.38,15,WASPADA,131
188.57,48.11,60,185.95,49.52,62,SIAGA,23
70.06,9.68,12,133.09,8.84,11,WASPADA,120
30.7,1.94,2,36.56,3.22,4,AMAN,280
105.91,16.7,21,134.02,6.71,8,WASPADA,146
151.98,34.68,43,180.36,49.57,62,SIAGA,20
249.88,88.96,111,259.16,80.48,101,BAHAYA,0
32.67,0.52,1,43.7,1.92,2,AMAN,341
223.48,66.35,83,261.74,57.44,72,BAHAYA,0
148.62,24.35,30,158.33,41.75,52,SIAGA,34
152.08,42.12,53,180.32,43.06,54,SIAGA,29
266.65,54.56,68,266.69,65.97,82,BAHAYA,0
265.61,96.35,120,226.56,53.01,66,BAHAYA,0
76.18,10.06,13,75.45,9.68,12,WASPADA,97
49.11,4.1,5,35.41,1.67,2,AMAN,226
104.87,12.25,15,70.91,17.09,21,WASPADA,165
35.91,4.01,5,32.73,4.8,6,AMAN,273
95.98,16.8,21,126.9,6.34,8,WASPADA,105
104.16,17.67,22,107.31,16.21,20,WASPADA,148
238.59,63.49,79,265.75,52.85,66,BAHAYA,0
63.57,4.19,5,2.11,3.55,4,AMAN,310
231.55,81.19,101,211.76,76.35,95,BAHAYA,0
131.22,7.27,9,96.12,11.49,14,WASPADA,118
195.37,35.08,44,161.34,26.97,34,SIAGA,23
19.29,3.67,5,33.02,2.66,3,AMAN,289
42.26,3.65,5,49.56,2.45,3,AMAN,330
181.78,45.07,56,186.89,29.97,37,SIAGA,51
201.76,45.59,57,188.54,47.85,60,SIAGA,20
56.53,3.69,5,17.02,4.03,5,AMAN,212
12.41,0.49,1,36.27,0.22,0,AMAN,351
58.89,3.35,4,38.31,4.15,5,AMAN,224
265.91,77.05,96,233.34,99.24,124,BAHAYA,0
246.53,61.58,77,243.72,97.14,121,BAHAYA,0
191.05,20.43,26,184.87,42.14,53,SIAGA,46
211.87,91.02,114,228.61,72.03,90,BAHAYA,0
167.47,47.79,60,181.39,20.57,26,SIAGA,52
176.26,40.28,50,156.65,41.2,52,SIAGA,45
73.72,7.23,9,134.79,11.22,14,WASPADA,108
177.09,20.9,26,200.24,46.92,59,SIAGA,17
225.31,79.74,100,262.29,68.61,86,BAHAYA,0
211.2,99.42,124,251.59,74.27,93,BAHAYA,0
72.96,8.07,10,108.57,12.8,16,WASPADA,157
167.18,27.63,35,139.01,30.86,39,SIAGA,17
155.49,30.76,38,157.29,27.62,35,SIAGA,49
143.76,49.03,61,184.82,45.71,57,SIAGA,25
56.75,4.27,5,59.84,2.2,3,AMAN,326
18.48,3.81,5,13.68,3.91,5,AMAN,239
221.15,73.7,92,216.55,85.82,107,BAHAYA,0
33.22,1.3,2,5.43,3.62,5,AMAN,239
96.65,12.41,16,69.7,12.84,16,WASPADA,136
103.75,14.08,18,120.38,10.35,13,WASPADA,179
266.36,74.23,93,259.95,58.29,73,BAHAYA,0
62.51,3.73,5,66.39,2.04,3,AMAN,341
31.71,1.84,2,64.87,4.32,5,AMAN,353
229.25,66.9,84,213.9,56.34,70,BAHAYA,0
244.87,67.47,84,228.31,73.41,92,BAHAYA,0
114.37,9.55,12,72.17,6.52,8,WASPADA,63
105.44,14.06,18,92.87,13.65,17,WASPADA,65
101.24,18.92,24,68.85,15.14,19,WASPADA,80
218.19,69.49,87,228.57,68.98,86,BAHAYA,0
256.59,56.16,70,215.37,92.97,116,BAHAYA,0
121.9,19.72,25,115.91,14.74,18,WASPADA,84
26.74,3.26,4,57.49,1.56,2,AMAN,184
71.48,10.17,13,77.53,5.46,7,WASPADA,129
174.26,30.42,38,158.54,26.27,33,SIAGA,56
239.8,83.55,104,223.9,71.77,90,BAHAYA,0
219.83,68.95,86,259.56,95.75,120,BAHAYA,0
269.06,90.64,113,253.48,97.36,122,BAHAYA,0
62.35,4.26,5,7.8,1.04,1,AMAN,261
241.9,56.38,70,261.1,62.5,78,BAHAYA,0
176.45,43.75,55,150.93,36.47,46,SIAGA,43
155.59,46.07,58,178.84,31.27,39,SIAGA,30
175.81,42.14,53,152.19,22.48,28,SIAGA,30
154.64,22.82,29,161.79,30.31,38,SIAGA,44
126.84,9.12,11,118.72,8.11,10,WASPADA,93
161.62,44.33,55,180.49,39.08,49,SIAGA,52
